,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
11873,2019,138,18098,USAQUEN,PRIVADO,PRI,TITO Y TÚ,"0,4839554113","0,6824242424","0,4547402597","0,3421052632","0,5333333333","0,3742857143",Bajo
11874,2019,139,18852,USAQUEN,PRIVADO,PRI,THE BLOSSOM TREE KINDERGARDEN,"0,6774157509","0,8228571429","0,6209096459","0,6175438596","0,8825396825","0,4314285714",Bajo
11875,2019,140,19571,SANTA FE,PRIVADO,PRI,LICEO INFANTIL UN MUNDO PARA LA COMPRENSIÓN,"0,3833140351","0,5296969697","0,4181578947","0,2368421053","0,2555555556","0,4142857143",Medio
11876,2019,141,RQ861382019,LOS MARTIRES,PRIVADO,,GUARDERIA LUDICA BIENVENIDO A CASA,"0,09522222222","0,1878787879","0,1240740741",0,"0,1111111111",0,Medio
11877,2019,142,1372,SUBA,PRIVADO,PRI,JARDIN MATERNAL MI PEQUEÑO MUNDO,"0,8032304029","0,7298701299","0,8728632479","0,6421052632","0,8666666667","0,92",Alto
11878,2019,143,16084,USAQUEN,PRIVADO,PRI,FASTRACKIDS KIDS GARDEN,"0,8406714286","0,9181818182","0,8200793651","0,9122807018","0,9047619048","0,5971428571",Alto
11879,2019,144,18633,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL MANITOS A LA OBRA,"0,7797566202","0,9078787879","0,7093554007","0,6385964912","0,9138888889","0,7771428571",Alto
11880,2019,146,1977,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL SAN GABRIEL ARCANGEL,"0,5580873016","0,4862337662","0,5273148148","0,5614035088","0,5376984127","0,7542857143",Bajo
11881,2019,147,18478,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL HOWARD HOUSE,"0,5407860182","0,4131168831","0,500810537","0,6175438596","0,5968253968","0,6628571429",Bajo
11882,2019,148,19325,USAQUEN,PRIVADO,PRI,LICEO INFANTIL THE RAINBOW KIDS,"0,3054365854","0,6072727273","0,4234552846",0,"0,2666666667","0,03428571429",Medio
11883,2019,149,2307,SUBA,PRIVADO,PRI,BETH BERAJOT,"0,5439142857","0,4704761905","0,4376190476","0,650877193","0,6857142857","0,59",Bajo
11884,2019,150,14843,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL MICKEY Y SUS AMIGOS,"0,5696142857","0,6193939394","0,494047619","0,5210526316","0,6222222222","0,6628571429",Bajo
11885,2019,151,15439,KENNEDY,PRIVADO,PRI,F. FLORENCE KINDER GARDEN SEDE B,"0,6484054113","0,7150649351","0,7004545455","0,5894736842","0,4543650794","0,72",Bajo
11886,2019,152,18798,USAQUEN,PRIVADO,PRI,JARDÍN NIÑOS Y NIÑAS SAS,"0,7592404762","0,8587012987","0,6128968254","0,701754386","0,8634920635","0,8828571429",Alto
11887,2019,153,19291,SUBA,PRIVADO,PRI,"1,2,3 POR MI","0,5137337662","0,6536796537","0,511969697","0,5263157895","0,4222222222","0,3785714286",Bajo
11888,2019,154,19340,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL HOJALATA SAS,"0,7274009009","0,7563636364","0,5145109395","0,8175438596","0,9047619048","0,8257142857",Alto
11889,2019,155,20075,BOSA,PRIVADO,PRI,J I PLAY KIDS,"0,6001320346","0,5480519481","0,8340909091","0,4385964912","0,5333333333","0,4714285714",Bajo
11890,2019,156,1746,CHAPINERO,PRIVADO,PRI,J I KAIKU,"0,6634859585","0,5520923521","0,7367521368","0,5438596491","0,6777777778","0,8285714286",Bajo
11891,2019,157,15302,RAFAEL URIBE URIBE,PRIVADO,PRI,LICEO PEDAGÓGICOS EL TALLER DE GEPPETTO,"0,5791908425","0,6921212121","0,5779059829","0,3771929825","0,6619047619","0,59",Bajo
