,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
12625,2019,892,Q574,CIUDAD BOLIVAR,PRIVADO,,FUNDACION INFANTIL RAYITOS DE SOL,0.053369048,0.1,0.049007937,0,0.111111111,0,Medio
12626,2019,893,766,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL PELOTA DE LETRAS,0.939621429,1,0.809404762,1,1,0.977142857,Alto
12627,2019,894,1898,KENNEDY,PRIVADO,PRI,GIMNASIO INTEGRAL EL BOSQUE SEDE A,0.473140825,0.721212121,0.358524971,0.357894737,0.486111111,0.471428571,Bajo
12628,2019,895,14718,TEUSAQUILLO,PRIVADO,PRI,JARDIN ALEGRIAS INFANTILES DE HOY,0.726530952,0.795151515,0.777380952,0.743859649,0.708333333,0.505714286,Bajo
12629,2019,896,16864,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL HUELLAS DE COLORES,0.254324823,0.367272727,0.290638298,0,0.188888889,0.414285714,Medio
12630,2019,897,18781,KENNEDY,PRIVADO,PRI,GIMNASIO INFANTIL EL BOSQUE SEDE B,0.529510777,0.747878788,0.37754386,0.371929825,0.66031746,0.585714286,Bajo
12631,2019,898,18922,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL MERAKI KIDS,0.666307971,0.605,0.707971014,0.69122807,0.780555556,0.517142857,Bajo
12632,2019,899,19434,BOSA,PRIVADO,PRI,JARDIN INFANTIL HAPPY KIDS,0.330740293,0.313939394,0.684340659,0,0.29047619,0.091428571,Medio
12633,2019,900,19527,BOSA,PRIVADO,PRI,JARDIN INFANTIL MONTE GERIZIM,0.268625397,0.336558442,0.518386243,0,0.111111111,0.16,Medio
12634,2019,901,19684,BOSA,PRIVADO,PRI,JARDIN INFANTIL MIS PEQUEÑOS GENIOS BOSA,0.201962121,0.156190476,0.456222944,0,0.055555556,0.16,Medio
12635,2019,902,19754,CIUDAD BOLIVAR,PRIVADO,PRI,GRUPO CREATIVO MUNDI,0.256069841,0.42961039,0.265185185,0.178947368,0.066666667,0.271428571,Medio
